self_1,s1,self_2,s2,self_3,s3,self_4,s4,self_5,s5,self_6,s6,self_7,s7,self_8,s8,self_9,s9,self_10,s10
I am a son.,R,I am a daughter.,R,I am a student.,C,I am a teacher.,C,I am a nurse.,C,I am an artist.,C,I am a musician.,C,I am an athlete.,C,I am a comedian.,C,I am a business owner.,C
I am a female or male.,C,I am American or Canadian.,C,I am Catholic or Protestant.,C,I am Caucasian or African-American.,C,I am a college student or a professional.,C,I am a parent or a single adult.,?,I am a Democrat or a Republican.,C,I am a city dweller or a rural person.,C,I am a conservative or a liberal.,C,I am a musician or a visual artist.,C
I am a mother.,R,I am an aunt.,R,I am a Christian.,C,I am a Scrabble player.,C,I am a biker.,C,I am a pet owner.,C,I am a historian.,C,I am a musician.,C,I am a teacher.,C,I am a retiree.,C
I am a female.,C,I am an 18-year-old.,C,I am a Christian.,C,I am a student.,C,I am an artist.,C,I am a daughter.,R,I am a Sister.,R,I am a friend.,R,I am an employee.,C,I am a prep cook.,C
I am a mother.,R,I am a teacher.,C,I am an artist.,C,I am a musician.,C,I am a scientist.,C,I am a pastor.,C,I am an engineer.,C,I am a writer.,C,I am a student.,C,I am a businessperson.,C
I am a male or female.,C,I am a son or daughter.,R,I am a friend.,R,I am an employee.,C,I am a parent.,R,I am a citizen.,C,I am an amateur athlete.,C,I am religious.,C,I am a poet.,C,I am an artist.,C
I am a mother.,R,I am a teacher.,C,I am a jogger.,C,I am a pianist.,C,I am a brother.,R,I am a musician.,C,I am a painter.,C,I am a golfer.,C,I am a poet.,C,I am a carpenter.,C
I am a son/daughter.,R,I am an aunt/uncle.,R,I am a student.,C,I am a teacher.,C,I am a single parent.,C,I am a married parent.,?,I am an artist.,C,I am a business person.,C,I am a writer.,C,I am an athlete.,C
I am a son or daughter.,R,I am a student.,C,I am a friend.,R,I am an employee.,C,I am a pet owner.,C,I am an adult.,C,I am a cook.,C,I am an athlete.,C,I am a traveler.,C,I am a hobbyist.,C
I am a woman.,C,I am American.,C,I am a Christian.,C,I am extroverted.,C,I am a college student.,C,I am a musician.,C,I am an artist.,C,I am a writer.,C,I am an introvert.,C,I am an athlete.,C
I am a student.,C,I am an entrepreneur.,C,I am a professional.,C,I am an artist.,C,I am a parent.,R,I am a volunteer.,C,I am an athlete.,C,I am a writer.,C,I am a musician.,C,I am a religious person.,C
I am a son/daughter,R,I am a friend,R,I am a sibling,R,I am a student,C,I am a worker,C,I am an athlete,C,I am an artist,C,I am a musician,C,I am religious,C,I am from a particular culture,C
I am a father/mother.,R,I am an artist.,C,I am a teacher.,C,I am a student.,C,I am a sports fan.,C,I am a vegan.,C,I am a party-goer.,C,I am a gamer.,C,I am a cinematographer.,C,I am spiritual.,C
I am a father.,R,I am a son.,R,I am a daughter.,R,I am a Christian.,C,I am an atheist.,C,I am an artist.,C,I am a teacher.,C,I am a programmer.,C,I am a musician.,C,I am a student.,C
I am a woman,C,I am a man,C,I am white,C,I am gay,C,I am African American,C,I am transgender,C,I am Catholic,C,I am a college student,C,I am an athlete,C,I am a musician,C
I am a parent.,R,I am a sibling.,R,I am an artist.,C,I am a music lover.,C,I am a gamer.,C,I am a student.,C,I am a friend.,R,I am a teacher.,C,I am an avid reader.,C,I am a volunteer.,C
I am a student.,C,I am a homemaker.,C,I am a worker.,C,I am an athlete.,C,I am an artist.,C,I am a musician.,C,I am an entrepreneur.,C,I am a psychiatrist.,C,I am a philosopher.,C,I am an activist.,C
I am a human being.,C,I am a son/daughter.,R,I am a Canadian/American/etc. citizen.,C,I am a student/teacher.,C,I am a Christian/Muslim/Buddhist/etc.,C,I am a man/woman/non-binary individual.,C,I am a people-pleaser/reserved person.,C,I am a liberal/conservative.,C,I am an educated/uneducated person.,C,I am a professional/non-professionala.,C
I am a woman,C,I am a mother,R,I am a Christian,C,I am an environmentalist,C,I am a student,C,I am a basketball fan,C,I am a Democrat,C,I am a video game enthusiast,C,I am a runner,C,I am a vegetarian,C
I am a Christian.,C,I am from the U.S.,C,I am a teacher.,C,I am a mother.,R,I am a student.,C,I am a Democrat.,C,I am a sports fan.,C,I am an outdoors enthusiast.,C,I am artistic.,C,I am bilingual.,C
I am an artist.,C,I am a student.,C,I am a homeowner.,C,I am an entrepreneur.,C,I am a grandparent.,R,I am a friend.,R,I am a leader.,C,I am an activist.,C,I am a traveler.,C,I am a believer.,C
I am a mother.,R,I am a veterinarian.,C,I am a sports enthusiast.,C,I am a musician.,C,I am a Christian.,C,I am a chef.,C,I am a historian.,C,I am an artist.,C,I am a teacher.,C,I am a writer.,C
I am a musician.,C,I am an artist.,C,I am a student.,C,I am a mother.,R,I am a father.,R,I am an engineer.,C,I am a doctor.,C,I am a teacher.,C,I am a business owner.,C,I am a lawyer.,C
I am a daughter/son.,R,I am a sister/brother.,R,I am a friend.,R,I am an employee.,C,I am a student.,C,I am a homemaker.,C,I am a caregiver.,C,I am a volunteer.,C,I am an artist/musician/writer.,C,I am a sportsman/athlete.,C
I am a father.,R,I am a daughter.,R,I am a student.,C,I am an employee.,C,I am a teacher.,C,I am a Christian.,C,I am a Republican.,C,I am an artist.,C,I am a programmer.,C,I am an athlete.,C
I am a son.,R,I am a daughter.,R,I am an artist.,C,I am a student.,C,I am a musician.,C,I am a teacher.,C,I am a volunteer.,C,I am a sports fan.,C,I am a home cook.,C,I am a learner.,C
I am female.,C,I am into sports.,C,I am a musician.,C,I am an artist.,C,I am a Christian.,C,I am a Democrat.,C,I am a college student.,C,I am a gamer.,C,I am an outdoor enthusiast.,C,I am a runner.,C
I am a son.,R,I am a daughter.,R,I am a student.,C,I am an artist.,C,I am a runner.,C,I am a musician.,C,I am an employee.,C,I am a teacher.,C,I am a traveler.,C,I am a friend.,R
I am a son/daughter.,R,I am a friend.,R,I am a brother/sister.,R,I am a student.,C,I am a learner.,C,I am a worker.,C,I am an artist.,C,I am an athlete.,C,I am a volunteer.,C,I am religious.,C
I am a woman.,C,I am a man.,C,I am a parent.,R,I am married.,C,I am single.,C,I am a college student.,C,I am a high school student.,C,I am an artist.,C,I am a musician.,C,I am a dancer.,C
I am a family member.,R,I am a friend.,R,I am an employee.,C,I am a student.,C,I am a hobbyist.,C,I am a traveller.,C,I am a sports enthusiast.,C,I am a musician.,C,I am an artist.,C,I am a volunteer.,C
I am a woman.,C,I am a son.,R,I am an American citizen.,C,I am a college student.,C,I am a vegetarian.,C,I am a Christian.,C,I am an artist.,C,I am a musician.,C,I am a lover of nature.,C,I am a black belt in martial arts.,C
I am a Christian.,C,I am a Democrat.,C,I am a father.,R,I am a daughter.,R,I am a teacher.,C,I am an artist.,C,I am a student.,C,I am an activist.,C,I am a scientist.,C,I am a musician.,C
I am a human.,C,I am a son/daughter,R,I am an employee,C,I am a parent,R,I am a student,C,I am a friend,R,I am an artist,C,I am a sibling,R,I am a neighbor,R,I am a volunteer,C
I am a mother.,R,I am a father.,R,I am an athlete.,C,I am a teacher.,C,I am a Jew.,C,I am a Christian.,C,I am a musician.,C,I am a dancer.,C,I am an artist.,C,I am a writer.,C
I am a doctor.,C,I am a dancer.,C,I am an artist.,C,I am a teacher.,C,I am an athlete.,C,I am a musician.,C,I am a writer.,C,I am a computer programmer.,C,I am a businessperson.,C,I am a nurse.,C
I am an artist.,C,I am a hobbyist.,C,I am a student.,C,I am an adult.,C,I am an entrepreneur.,C,I am a volunteer.,C,I am a traveller.,C,I am a fitness enthusiast.,C,I am a foodie.,C,I am a dreamer.,C
I am a man.,C,I am a woman.,C,I am a parent.,R,I am a student.,C,I am an employee.,C,I am retired.,C,I am an artist.,C,I am an athlete.,C,I am a teacher.,C,I am a designer.,C
I am a son/daughter,R,I am a student,C,I am a friend,R,I am a teacher,C,I am a sports enthusiast,C,I am a volunteer,C,I am a reader,C,I am a writer,C,I am an artist,C,I am a dreamer,C
I am a man.,C,I am an athlete.,C,I am an artist.,C,I am a salesperson.,C,I am an entrepreneur.,C,I am a musician.,C,I am a student.,C,I am a writer.,C,I am a homemaker.,C,I am an environmentalist.,C
I am a parent,R,I am a musician,C,I am a student,C,I am a worker,C,I am a friend,R,I am an artist,C,I am a teacher,C,I am a volunteer,C,I am a mentor,C,I am a leader,C
I am a woman.,C,I am a man.,C,I am a son/daughter/parent,R,I am an American/Mexican/Canadian/Australian/etc.,C,I am an athlete.,C,I am a musician.,C,I am a student.,C,I am a teacher.,C,I am religious.,C,I am an artist.,C
I am an introvert,C,I am a Christian,C,I am a college student,C,I am an employee,C,I am a runner,C,I am an artist,C,I am a daughter,R,I am a humanitarian,C,I am a fan of music,C,I am a foodie,C
I am a man.,C,I am an individual.,C,I am a student.,C,I am a friend.,R,I am a son/daughter.,R,I am an American.,C,I am a Christian.,C,I am a teacher.,C,I am a worker.,C,I am an artist.,C
I am a woman.,C,I am a teacher.,C,I am a student.,C,I am a husband.,R,I am a father.,R,I am a friend.,R,I am an athlete.,C,I am a chef.,C,I am an artist.,C,I am a musician.,C
I am an American.,C,I am a mother.,R,I am a Christian.,C,I am a citizen of a particular city.,C,I am a member of a particular ethnic group.,C,I am an employee at a specific company.,C,I am an advocate for certain causes.,C,I am an artist.,C,I am a sports fan.,C,I am a student.,C
I am a woman.,C,I am a mother.,R,I am a college student.,C,I am a friend.,R,I am a Christian.,C,I am a teacher.,C,I am an artist.,C,I am a runner.,C,I am ambitious.,C,I am a writer.,C
I am a woman/man.,C,I am a daughter/son.,R,I am of a certain faith or spiritual belief.,C,I am a certain race or ethnicity.,C,I am a student.,C,I am a working professional.,C,I am a member of a political party.,C,I am a parent.,R,I am an artist.,C,I am a volunteer.,C
I am a woman.,C,I am an artist.,C,I am a parent.,R,I am an introvert.,C,I am a friend.,R,I am a student.,C,I am a teacher.,C,I am a vegetarian.,C,I am a gamer.,C,I am a Christian.,C
I am a woman.,C,I am an American.,C,I am a student.,C,I am a Christian.,C,I am a dog person.,C,I am an artist.,C,I am a runner.,C,I am a bookworm.,C,I am a volunteer.,C,I am an extrovert.,C
I am a woman.,C,I am an American.,C,I am a daughter.,R,I am a musician.,C,I am a Christian.,C,I am a scientist.,C,I am an athlete.,C,I am an artist.,C,I am a student.,C,I am a friend.,R
I am compassionate.,C,I am confident.,C,I am courteous.,C,I am creative.,C,I am honest.,C,I am intelligent.,C,I am open-minded.,C,I am reliable.,C,I am philosophical.,C,I am thoughtful.,C
I am an American.,C,I am a female.,C,I am a Christian.,C,I am a college student.,C,I am an extrovert.,C,I am a mathematician.,C,I am an artist.,C,I am a lover of music.,C,I am an athlete.,C,I am a writer.,C
I am a female.,C,I am a Christian.,C,I am a mother.,R,I am a teacher.,C,I am a friend.,R,I am an artist.,C,I am an entrepreneur.,C,I am a voter.,C,I am a lawyer.,C,I am a writer.,C
I am a student.,C,I am a son/daughter.,R,I am a sister/brother.,R,I am an artist.,C,I am a musician.,C,I am a teacher.,C,I am a business owner.,C,I am a friend.,R,I am a neighbor.,R,I am a volunteer.,C
I am a man.,C,I am a woman.,C,I am a teenager.,C,I am a student.,C,I am an artist.,C,I am a musician.,C,I am a writer.,C,I am a vegetarian.,C,I am an athlete.,C,I am a religious person.,C
I am a husband.,R,I am a father.,R,I am a friend.,R,I am a teacher.,C,I am an employee.,C,I am an athlete.,C,I am a community member.,C,I am a human being.,C,I am a believer.,C,I am a leader.,C
I am a woman.,C,I am a daughter.,R,I am a member of a certain religion.,C,I am a college student.,C,I am an extrovert.,C,I am a resident of a particular city.,C,I am a teacher.,C,I am a vegetarian.,C,I am a pet owner.,C,I am an athlete.,C
I am a student.,C,I am an artist.,C,I am a parent.,R,I am an athlete.,C,I am a businessperson.,C,I am a veteran.,C,I am a friend.,R,I am a writer.,C,I am a traveler.,C,I am a mentor.,C
I am female.,C,I am son.,R,I am daughter.,R,I am brother.,R,I am sister.,R,I am friend.,R,I am student.,C,I am teacher.,C,I am LGBTQ+.,C,I am a citizen.,C
I am a student.,C,I am a husband.,R,I am a wife.,R,I am a son.,R,I am a daughter.,R,I am a parent.,R,I am a friend.,R,I am an employee.,C,I am an employer.,C,I am an artist.,C
I am male,C,I am female,C,I am tall,C,I am short,C,I am young,C,I am old,C,I am a student,C,I am a teacher,C,I am a Catholic,C,I am an atheist,C
I am a son/daughter.,R,I am a friend.,R,I am a student.,C,I am a teacher.,C,I am a leader.,C,I am a dancer.,C,I am an athlete.,C,I am a musician.,C,I am a writer.,C,I am an artist.,C
I am bisexual.,C,I am a teacher.,C,I am a Christian.,C,I am an athlete.,C,I am a musician.,C,I am a vegan.,C,I am an artist.,C,I am a traveler.,C,I am a feminist.,C,I am a Discord user.,C
I am a woman.,C,I am a husband.,R,I am a father.,R,I am a writer.,C,I am a musician.,C,I am an engineer.,C,I am a teacher.,C,I am an artist.,C,I am a Christian.,C,I am a friend.,R
I am an individual.,C,I am my own person.,C,I am a parent.,R,I am a student.,C,I am a professional.,C,I am a religious believer.,C,I am a politically minded person.,C,I am a creative individual.,C,I am an athlete.,C,I am a passionate person.,C
I am a human being.,C,I am a son/daughter.,R,I am of a particular gender.,C,I am a certain age.,C,I am from a specific geography or culture.,C,I am of a certain ethnicity or race.,C,I am part of a certain religion or spiritual practice.,C,I am part of a certain political belief or ideology.,C,I am of a particular social class or economic status.,C,I am part of a certain community.,C
I am a woman.,C,I am white.,C,I am straight.,C,I am left-handed.,C,I am a soccer player.,C,I am from Michigan.,C,I am a Christian.,C,I am a student.,C,I am a twin.,C,I am a dog-owner.,C
I am a feminist.,C,I am a Christian.,C,I am a sister.,R,I am a daughter.,R,I am a Democrat.,C,I am a painter.,C,I am a musician.,C,I am an athlete.,C,I am a clown.,C,I am a reader.,C
I am an introvert.,C,I am a female.,C,I am a Christian.,C,I am a mother.,R,I am a teacher.,C,I am a small business owner.,C,I am a student.,C,I am an artist.,C,I am a writer.,C,I am an athlete.,C
I am an individual.,C,I am a woman.,C,I am a man.,C,I am a mother.,R,I am a father.,R,I am a son.,R,I am a daughter.,R,I am religious.,C,I am an artist.,C,I am a gamer.,C
I am a husband/wife.,R,I am a son/daughter.,R,I am a student.,C,I am a professional.,C,I am a volunteer.,C,I am a hobbyist.,C,I am a proud citizen.,C,I am an advocate.,C,I am a believer.,C,I am a carer.,C
I am a citizen of my country of origin.,C,I am a parent.,R,I am a student.,C,I am a scientist.,C,I am an employee.,C,I am an artist.,C,I am an entrepreneur.,C,I am a leader.,C,I am a sports enthusiast.,C,I am a loyal friend.,R
I am a mother,R,I am a student,C,I am a business professional,C,I am a football player,C,I am an artist,C,I am a teacher,C,I am a musician,C,I am an engineer,C,I am an entrepreneur,C,I am an author,C
I am a man.,C,I am a woman.,C,I am a student.,C,I am a teacher.,C,I am a parent.,R,I am a friend.,R,I am a sibling.,R,I am an employee.,C,I am an employer.,C,I am an artist.,C
I am a human being.,C,I am a student.,C,I am a Christian.,C,I am a mother.,R,I am a sports fan.,C,I am a dog lover.,C,I am a millennial.,C,I am a member of my local community.,C,I am an advocate for social justice.,C,I am an employee.,C
I am a woman.,C,I am a student.,C,I am a daughter.,R,I am a friend.,R,I am an artist.,C,I am a Christian.,C,I am an athlete.,C,I am a singer.,C,I am a teacher.,C,I am a writer.,C
I am an introvert.,C,I am an environmentalist.,C,I am a vegetarian.,C,I am a dog-lover.,C,I am an artist.,C,I am a runner.,C,I am an aspiring entrepreneur.,C,I am a teacher.,C,I am a researcher.,C,I am an activist.,C
I am a son/daughter.,R,I am a friend.,R,I am a student.,C,I am a daughter/son-in-law.,R,I am a sibling.,R,I am a colleague.,R,I am a partner.,R,I am a parent.,R,I am a spouse.,R,I am a grandparent.,R
I am a woman,C,I am a Christian,C,I am an artist,C,I am an environmentalist,C,I am an entrepreneur,C,I am a brother,R,I am a friend,R,I am a runner,C,I am a student,C,I am an employee,C
I am a woman.,C,I am a daughter.,R,I am a sister.,R,I am a student.,C,I am a friend.,R,I am a vegan.,C,I am Catholic.,C,I am from the Midwest.,C,I am a writer.,C,I am a soccer player.,C
I am an American.,C,I am a Christian.,C,I am a mother.,R,I am an extrovert.,C,I am a student.,C,I am a Manager.,C,I am an entrepreneur.,C,I am a Liberal.,C,I am an athlete.,C,I am a musician.,C
I am a woman.,C,I am an American.,C,I am confident.,C,I am an artist.,C,I am a college student.,C,I am a daughter.,R,I am an introvert.,C,I am a vegan.,C,I am a movie buff.,C,I am a bookworm.,C
I am a woman,C,I am a student,C,I am a vegan,C,I am a friend,R,I am a daughter,R,I am a hometown resident,C,I am an artist,C,I am a sister,R,I am a Christian,C,I am a student-athlete,C
I am a woman.,C,I am a man.,C,I am a Christian.,C,I am a college student.,C,I am American.,C,I am a teacher.,C,I am a singer.,C,I am an athlete.,C,I am a writer.,C,I am a programmer.,C
I am an artist.,C,I am a teacher.,C,I am a musician.,C,I am a student.,C,I am a nurse.,C,I am a yoga enthusiast.,C,I am a writer.,C,I am a traveler.,C,I am an entrepreneur.,C,I am a mentor.,C
I am a woman.,C,I am a student.,C,I am a musician.,C,I am a parent.,R,I am a Christian.,C,I am a teacher.,C,I am an artist.,C,I am a writer.,C,I am a friend.,R,I am an entrepreneur.,C
I am a man.,C,I am a woman.,C,I am a student.,C,I am an adult.,C,I am a parent.,R,I am a teacher.,C,I am a friend.,R,I am an employee.,C,I am an artist.,C,I am an athlete.,C
I am an American citizen.,C,I am an introvert.,C,I am a Christian.,C,I am a writer.,C,I am an artist.,C,I am financially independent.,C,I am a husband.,R,I am a mentor.,C,I am a student.,C,I am passionate about learning.,C
I am a mother.,R,I am a University student.,C,I am a Libertarian.,C,I am a Christian.,C,I am an artist.,C,I am a father.,R,I am a scientist.,C,I am an engineer.,C,I am a musician.,C,I am a sports fan.,C
I am a competitive football player.,C,I am an introspective artist.,C,I am a student at a nearby college.,C,I am a dedicated volunteer.,C,I am a loyal friend.,R,I am an avid reader.,C,I am a business professional.,C,I am a creative thinker.,C,I am a world traveler.,C,I am an animal lover.,C
I am a father,R,I am a daughter,R,I am an artist,C,I am a musician,C,I am a student,C,I am a teacher,C,I am a cartoonist,C,I am a coach,C,I am a chef,C,I am a religious worshiper,C
I am a daughter / son.,R,I am a student.,C,I am a Christian.,C,I am an American.,C,I am a teacher.,C,I am a Democrat.,C,I am a sister / brother.,R,I am a friend.,R,I am an artist.,C,I am an athlete.,C
I am a man.,C,I am a woman.,C,I am a child.,R,I am a Christian.,C,I am a Democrat.,C,I am an American.,C,I am a student.,C,I am a teacher.,C,I am an athlete.,C,I am a musician.,C
I am male.,C,I am female.,C,I am a parent.,R,I am a sibling.,R,I am a student.,C,I am an employee.,C,I am a teacher.,C,I am an athlete.,C,I am a musician.,C,I am a writer.,C
I am a happy person.,C,I am a student.,C,I am a musician.,C,I am an athlete.,C,I am a religious person.,C,I am a kind person.,C,I am a computer programmer.,C,I am a science enthusiast.,C,I am an artist.,C,I am a feminist.,C
I am an American.,C,I am a Christian.,C,I am a Democrat.,C,I am a Loyalist.,C,I am a daughter.,R,I am a sister.,R,I am an athlete.,C,I am a student.,C,I am an entrepreneur.,C,I am a volunteer.,C
I am a son or daughter.,R,I am a friend.,R,I am an employee.,C,I am a volunteer.,C,I am a student.,C,I am a neighbor.,R,I am an athlete.,C,I am a religious believer.,C,I am a creative individual.,C,I am an entrepreneur.,C
I am a female.,C,I am a college student.,C,I am a Democrat.,C,I am an entrepreneur.,C,I am a Christian.,C,I am a runner.,C,I am an artist.,C,I am a mother.,R,I am a professional.,C,I am a poet.,C
I am a girl.,C,I am a teacher.,C,I am a Christian.,C,I am a son.,R,I am a student.,C,I am a friend.,R,I am an artist.,C,I am a gamer.,C,I am a musician.,C,I am a sibling.,R
I am an individual.,C,I am a sister.,R,I am an American citizen.,C,I am a student.,C,I am a daughter.,R,I am an athlete.,C,I am a friend.,R,I am a colleague.,R,I am a mentor.,C,I am an artist.,C
I am an American.,C,I am a Christian.,C,I am a student.,C,I am a teacher.,C,I am a feminist.,C,I am an artist.,C,I am a musician.,C,I am a parent.,R,I am a gamer.,C,I am a writer.,C
I am an individual.,C,I am a student.,C,I am a teacher.,C,I am a parent.,R,I am a friend.,R,I am a professional.,C,I am an artist.,C,I am a caregiver.,C,I am a writer.,C,I am a dreamer.,C
I am a college graduate.,C,I am a person of color.,C,I am Catholic.,C,I am a homeowner.,C,I am an artist.,C,I am bilingual.,C,I am a parent.,R,I am politically progressive.,C,I am an entrepreneur.,C,I am a volunteer.,C
I am a student.,C,I am a scientist.,C,I am a parent.,R,I am an artist.,C,I am an entrepreneur.,C,I am a musician.,C,I am a teacher.,C,I am a software engineer.,C,I am an athlete.,C,I am a writer.,C
I am an educated professional.,C,I am a student.,C,I am a spouse.,R,I am a parent.,R,I am a friend.,R,I am a member of a community.,C,I am a follower of a certain faith.,C,I am a lover of a certain sport or hobby.,C,I am a pet owner.,C,I am a volunteer.,C
I am a daughter/son.,R,I am a student.,C,I am a friend.,R,I am an employee.,C,I am an artist.,C,I am a writer.,C,I am a cook.,C,I am an athlete.,C,I am a parent.,R,I am a religious worshipper.,C
I am a daughter/son/sibling.,R,I am a student/worker.,C,I am a friend/colleague.,R,I am a parent.,R,I am a mentor/mentee.,C,I am an athlete.,C,I am an artist.,C,I am a traveler.,C,I am a volunteer.,C,I am an advocate.,C
I am male.,C,I am female.,C,I am straight.,C,I am gay.,C,I am a parent.,R,I am a grandparent.,R,I am an artist.,C,I am a student.,C,I am a professional.,C,I am a member of my community.,C
I am a man.,C,I am a woman.,C,I am a teacher.,C,I am a student.,C,I am a mother.,R,I am a father.,R,I am a Christian.,C,I am an American.,C,I am an engineer.,C,I am an artist.,C
I am a parent,R,I am a teacher,C,I am a student,C,I am an activist,C,I am an artist,C,I am a musician,C,I am an athlete,C,I am a volunteer,C,I am a writer,C,I am a scientist,C
I am a woman.,C,I am a mother.,R,I am a sister.,R,I am a wife.,R,I am a high school graduate.,C,I am a teacher.,C,I am an artist.,C,I am a Christian.,C,I am a golfer.,C,I am a volunteer.,C
I am a female.,C,I am a father.,R,I am a college student.,C,I am a Christian.,C,I am an artist.,C,I am a cyclist.,C,I am a programmer.,C,I am a teacher.,C,I am a chef.,C,I am a writer.,C
I am a female.,C,I am a student.,C,I am an American citizen.,C,I am a Christian.,C,I am an artist.,C,I am an introvert.,C,I am a reader.,C,I am an athlete.,C,I am a teacher.,C,I am a musician.,C
I am a daughter/son.,R,I am a friend.,R,I am a student.,C,I am a teacher.,C,I am a creative.,C,I am a professional.,C,I am religious.,C,I am an athlete.,C,I am a leader.,C,I am a scientist.,C
I am a daughter/son.,R,I am a sister/brother.,R,I am a mother/father.,R,I am a student.,C,I am a teacher.,C,I am an athlete.,C,I am an artist.,C,I am a reader.,C,I am a musician.,C,I am a traveler.,C
I am a woman,C,I am a daughter,R,I am a student,C,I am a volunteer,C,I am a friend,R,I am a Christian,C,I am a reader,C,I am a writer,C,I am a musician,C,I am a cyclist,C
I am a son/daughter.,R,I am a citizen of a particular country.,C,I am a resident of a particular city.,C,I am an employee of a particular company.,C,I am a student of a particular school.,C,I am an artist of a particular craft.,C,I am a member of a particular religion.,C,I am of a particular race.,C,I am of a particular gender.,C,I am in a particular age/social demographic.,C
I am an adult,C,I am a daughter,R,I am a brother,R,I am a student,C,I am a parent,R,I am a professional,C,I am a friend,R,I am an athlete,C,I am an artist,C,I am a hobbyist,C
I am a female.,C,I am a mother.,R,I am a writer.,C,I am a daughter.,R,I am an artist.,C,I am a student.,C,I am a vegan.,C,I am a teacher.,C,I am a swimmer.,C,I am a musician.,C
I am a middle-aged woman.,C,I am the daughter of two doctors.,R,I am a registered nurse.,C,I am a musician.,C,I am a teacher.,C,I am a small business owner.,C,I am a Christian.,C,I am a fan of football.,C,I am a volunteer for a local charity.,C,I am a triathlete.,C
I am a female.,C,I am a conceptual thinker.,C,I am an individual of an African ethnic background.,C,I am a liberal-minded person.,C,I am a student of business studies.,C,I am a Christian.,C,I am a life-long learner.,C,I am a daughter.,R,I am a traveler.,C,I am an early bird.,C
I am heterosexual,C,I am female,C,I am shy,C,I am a mother,R,I am an accountant,C,I am an artist,C,I am a survivor,C,I am a Christian,C,I am a mentor,C,I am a volunteer,C
I am a son/daughter.,R,I am a parent,R,I am a student,C,I am an employee,C,I am a friend,R,I am a volunteer,C,I am an artist,C,I am a musician,C,I am an athlete,C,I am a follower of a specific faith or spiritual practice.,C
I am a woman.,C,I am a Christian.,C,I am left-handed.,C,I am a college student.,C,I am an introvert.,C,I am politically conservative.,C,I am an artist.,C,I am a musician.,C,I am an athlete.,C,I am a reader.,C
I am a male/female.,C,I am a son/daughter.,R,I am a student/teacher.,C,I am Asian/African American/Caucasian/Latino/Native American.,C,I am from the city/suburbs.,C,I am religious/non-religious.,C,I am a vegan/vegetarian/meat-eater.,C,I am extroverted/introverted.,C,I am a conservative/liberal.,C,I am an artist/athlete/businessman/musician/writer.,C
I am a daughter.,R,I am a son.,R,I am a sibling.,R,I am a student.,C,I am a friend.,R,I am an employee.,C,I am an employer.,C,I am a parent.,R,I am an artist.,C,I am a citizen.,C
I am a person of faith.,C,I am a political/social activist.,C,I am an athlete.,C,I am a parent.,R,I am an artist.,C,I am a musician.,C,I am a student.,C,I am a chef.,C,I am an engineer.,C,I am a business person.,C
I am a Christian.,C,I am a father.,R,I am a college student.,C,I am a small business owner.,C,I am a liberal.,C,I am an entrepreneur.,C,I am a soccer player.,C,I am a feminist.,C,I am a professor.,C,I am a lawyer.,C
I am a son/daughter.,R,I am a friend.,R,I am a student.,C,I am a teacher.,C,I am a colleague.,R,I am a reader.,C,I am an artist.,C,I am an athlete.,C,I am a brother/sister.,R,I am a leader.,C
I am an accountant.,C,I am a brother to two sisters.,R,I am an optimist.,C,I am a Christian.,C,I am an artist.,C,I am a single parent.,C,I am a homeowner.,C,I am a high school graduate.,C,I am a cyclist.,C,I am a volunteer.,C
I am a man.,C,I am a woman.,C,I am a parent.,R,I am a student.,C,I am a professional.,C,I am a Christian.,C,I am an artist.,C,I am an athlete.,C,I am a teacher.,C,I am a musician.,C
I am an American.,C,I am a member of a certain religion.,C,I am a parent/caregiver.,R,I am an extrovert.,C,I am a Registered Voter.,C,I am a homeowner.,C,I am a single person.,C,I am employed in a certain profession.,C,I am a student.,C,I am a member of a certain ethnic group.,C
I am a daughter/son.,R,I am an athlete.,C,I am an artist.,C,I am a teacher.,C,I am a student.,C,I am a friend.,R,I am a sibling.,R,I am a citizen.,C,I am a coach.,C,I am a patriot.,C
"I am my height, ethnicity, and gender.",C,I am emotionally and spiritually intelligent.,C,I am an advocate for community growth.,C,I am an individual with unique cultural perspectives.,C,I am a professional in the field of my choice.,C,I am an active learner who loves travelling.,C,I am an art enthusiast who appreciates creativity.,C,I am sensitive to my environment and the issues around me.,C,I am an optimist with a healthy lifestyle.,C,I am a patriot of my country.,C
"I am my own person, with my own thoughts and ideas.",C,I am a family member.,R,I am a friend.,R,I am a student.,C,I am an employee.,C,"I am a member of a particular religious, racial, or ethnic group.",C,I am a member of a particular political party or group.,C,I am a computer programmer.,C,I am a sports fan.,C,I am a resident of a particular city or state.,C
I am a female.,C,I am a Christian.,C,I am a doctor.,C,I am an artist.,C,I am a mother.,R,I am a runner.,C,I am a poet.,C,I am a cook.,C,I am a student.,C,I am a teacher.,C
I am a man.,C,I am a woman.,C,I am a Christian.,C,I am an Asian-American.,C,I am a mother.,R,I am a student.,C,I am a professional.,C,I am an American citizen.,C,I am an artist.,C,I am a vegan.,C
I am male.,C,I am female.,C,I am a teenager.,C,I am an adult.,C,I am a student.,C,I am a parent.,R,I am an artist.,C,I am an athlete.,C,I am a musician.,C,I am a writer.,C
I am a Christian.,C,I am a Republican.,C,I am a mother.,R,I am an artist.,C,I am a doctor.,C,I am an introvert.,C,I am a vegetarian.,C,I am an engineer.,C,I am a computer programmer.,C,I am an entrepreneur.,C
